ID,Nom,Type,Surface,Prix,Prix_m2,Adresse,Ville,Code_Postal,Region,Image,Promoteur,Statut,Année_Construction,DPE,Charges_Mensuelles,Taxe_Fonciere,Rentabilite,Parking,Balcon,Ascenseur,Etage,Nombre_Etages,Date_Disponibilite
14,Le Duo - Paris,T2,48,365392,7612,"84 place chemin Diane Hamon, 75008 Paris",Paris,75008,Île-de-France,https://example.com/images/properties/t2/14.jpg,Cogedim,Vendu,1957,B,199,1827,5.86,True,True,True,5,17,2026-09-12
15,Le Quatuor - Paris,T4,63,675062,10715,"77 avenue boulevard Girard, 75008 Paris",Paris,75008,Île-de-France,https://example.com/images/properties/t4/15.jpg,Kaufman & Broad,Réservé,2002,E,127,3375,6.98,False,True,True,8,2,2025-06-17
16,Le Studio - Paris,Studio,29,290146,10005,"30 rue chemin Nath Duval, 75016 Paris",Paris,75016,Île-de-France,https://example.com/images/properties/studio/16.jpg,Eiffage Immobilier,Réservé,2002,D,101,1451,7.2,True,True,True,5,4,2025-12-09
17,Le Duplex - Paris,Duplex,141,1616718,11466,"142 place boulevard Antoinette Dupré, 75001 Paris",Paris,75001,Île-de-France,https://example.com/images/properties/duplex/17.jpg,Icade,À vendre,1997,F,452,8084,6.01,False,False,False,11,18,2025-08-19
18,Le Duo - Paris,T2,36,467120,12976,"67 rue avenue Élodie Mathieu, 75005 Paris",Paris,75005,Île-de-France,https://example.com/images/properties/t2/18.jpg,Vinci Immobilier,Réservé,1995,A,71,2336,7.48,True,False,False,8,12,2026-02-05
19,Le Studio - Paris,Studio,31,575320,18559,"46 avenue avenue Gérard Ollivier, 75002 Paris",Paris,75002,Île-de-France,https://example.com/images/properties/studio/19.jpg,Cogedim,En négociation,1976,F,111,2877,5.73,True,True,False,2,1,2026-01-06
20,Le Panorama - Paris,Duplex,114,2190326,19213,"118 place rue de Pasquier, 75007 Paris",Paris,75007,Île-de-France,https://example.com/images/properties/duplex/20.jpg,Kaufman & Broad,Vendu,1993,C,541,10952,3.52,True,False,False,13,9,2026-08-05
21,L'Horizon - Paris,Duplex,130,823384,6334,"82 place boulevard Raymond, 75007 Paris",Paris,75007,Île-de-France,https://example.com/images/properties/duplex/21.jpg,Eiffage Immobilier,Réservé,1960,D,281,4117,6.28,True,True,True,2,7,2025-07-12
22,L'Excellence - Marseille,T5,100,971498,9715,"133 rue rue Coste, 13001 Marseille",Marseille,13001,Provence-Alpes-Côte d'Azur,https://example.com/images/properties/t5/22.jpg,Pitch Promotion,Réservé,2000,B,135,4857,4.73,False,True,False,15,19,2025-05-08
23,L'Excellence - Marseille,T5,116,670068,5776,"89 rue rue Christelle Prévost, 13003 Marseille",Marseille,13003,Provence-Alpes-Côte d'Azur,https://example.com/images/properties/t5/23.jpg,Bouygues Immobilier,En négociation,1986,A,483,3350,7.59,False,True,True,4,17,2026-01-31
24,Le Confort - Marseille,T2,48,393754,8203,"105 boulevard boulevard de Clerc, 13008 Marseille",Marseille,13008,Provence-Alpes-Côte d'Azur,https://example.com/images/properties/t2/24.jpg,Bouygues Immobilier,Vendu,2003,E,165,1969,2.45,True,False,True,6,17,2026-11-04
25,Le Quintessence - Marseille,T5,91,925182,10167,"60 place chemin Odette Lacombe, 13004 Marseille",Marseille,13004,Provence-Alpes-Côte d'Azur,https://example.com/images/properties/t5/25.jpg,Nexity,Vendu,2003,F,105,4626,6.42,True,True,False,5,20,2026-10-30
26,Le Confort - Marseille,T2,48,391481,8156,"101 rue rue Astrid Daniel, 13001 Marseille",Marseille,13001,Provence-Alpes-Côte d'Azur,https://example.com/images/properties/t2/26.jpg,Nexity,À vendre,1995,F,105,1957,3.46,False,False,False,13,15,2027-02-22
27,Le Cosy - Marseille,Studio,26,204961,7883,"56 avenue rue Mahe, 13009 Marseille",Marseille,13009,Provence-Alpes-Côte d'Azur,https://example.com/images/properties/studio/27.jpg,Vinci Immobilier,Vendu,2022,G,67,1025,6.46,False,False,True,4,4,2026-05-25
28,Le Familial - Marseille,T3,59,422427,7160,"110 boulevard rue Simone Lopes, 13008 Marseille",Marseille,13008,Provence-Alpes-Côte d'Azur,https://example.com/images/properties/t3/28.jpg,Kaufman & Broad,À vendre,1951,F,186,2112,5.32,True,False,True,6,6,2026-02-10
29,Le Studio - Marseille,Studio,30,274324,9144,"146 place chemin Astrid Millet, 13009 Marseille",Marseille,13009,Provence-Alpes-Côte d'Azur,https://example.com/images/properties/studio/29.jpg,Vinci Immobilier,Vendu,1966,F,81,1372,2.06,True,False,True,7,2,2025-09-15
30,L'Équilibre - Marseille,T2,35,291643,8333,"69 place boulevard Diallo, 13003 Marseille",Marseille,13003,Provence-Alpes-Côte d'Azur,https://example.com/images/properties/t2/30.jpg,Vinci Immobilier,À vendre,1999,B,118,1458,7.5,True,False,False,0,7,2026-05-23
31,Le Confort - Marseille,T2,32,204341,6386,"59 boulevard chemin Weiss, 13003 Marseille",Marseille,13003,Provence-Alpes-Côte d'Azur,https://example.com/images/properties/t2/31.jpg,Vinci Immobilier,Vendu,1963,G,46,1022,5.15,False,True,False,2,4,2026-08-04
32,Le Professionnel - Marseille,Commercial,287,1386528,4831,"117 boulevard boulevard Amélie Techer, 13003 Marseille",Marseille,13003,Provence-Alpes-Côte d'Azur,https://example.com/images/properties/commercial/32.jpg,Nexity,Vendu,2009,D,1375,6933,7.74,True,False,True,0,13,2026-05-18
33,Le Duo - Marseille,T2,42,383807,9138,"101 avenue rue de Pierre, 13002 Marseille",Marseille,13002,Provence-Alpes-Côte d'Azur,https://example.com/images/properties/t2/33.jpg,Kaufman & Broad,À vendre,1956,G,85,1919,6.27,True,True,False,0,17,2026-05-31
34,Le Duplex - Marseille,Duplex,117,541541,4629,"34 boulevard chemin de Jacques, 13003 Marseille",Marseille,13003,Provence-Alpes-Côte d'Azur,https://example.com/images/properties/duplex/34.jpg,Cogedim,Vendu,1995,B,493,2708,2.54,False,False,True,0,14,2026-03-29
35,L'Harmonie - Marseille,T3,53,378234,7136,"136 boulevard rue Nath Dufour, 13002 Marseille",Marseille,13002,Provence-Alpes-Côte d'Azur,https://example.com/images/properties/t3/35.jpg,Eiffage Immobilier,En négociation,1953,G,167,1891,4.02,True,True,True,0,2,2025-12-30
36,Le Cosy - Marseille,Studio,23,122699,5335,"70 place rue Pierre, 13004 Marseille",Marseille,13004,Provence-Alpes-Côte d'Azur,https://example.com/images/properties/studio/36.jpg,Kaufman & Broad,En négociation,2017,B,85,613,7.57,True,False,True,10,14,2026-07-13
37,Le Spacieux - Marseille,T4,91,635295,6981,"104 place rue de Boyer, 13004 Marseille",Marseille,13004,Provence-Alpes-Côte d'Azur,https://example.com/images/properties/t4/37.jpg,Kaufman & Broad,Vendu,1996,D,187,3176,5.1,True,True,False,0,10,2026-11-16
38,L'Horizon - Marseille,Duplex,128,1096103,8563,"99 boulevard rue de Dupuy, 13002 Marseille",Marseille,13002,Provence-Alpes-Côte d'Azur,https://example.com/images/properties/duplex/38.jpg,Eiffage Immobilier,Réservé,2024,G,418,5481,4.67,False,True,True,1,9,2025-11-01
39,Le Spacieux - Marseille,T4,80,294518,3681,"144 rue avenue de Carlier, 13001 Marseille",Marseille,13001,Provence-Alpes-Côte d'Azur,https://example.com/images/properties/t4/39.jpg,Eiffage Immobilier,Réservé,2005,A,212,1473,4.78,True,False,False,1,5,2025-05-05
40,L'Équilibre - Marseille,T2,50,204939,4099,"120 place boulevard de Gautier, 13004 Marseille",Marseille,13004,Provence-Alpes-Côte d'Azur,https://example.com/images/properties/t2/40.jpg,Bouygues Immobilier,À vendre,1952,C,170,1025,5.48,True,True,False,7,13,2026-04-08
41,Le Commerce - Marseille,Commercial,164,1133565,6912,"3 rue boulevard Emmanuel Garnier, 13004 Marseille",Marseille,13004,Provence-Alpes-Côte d'Azur,https://example.com/images/properties/commercial/41.jpg,Pitch Promotion,En négociation,1993,A,774,5668,5.07,True,False,False,0,15,2025-12-01
42,Le Panorama - Marseille,Duplex,111,1121204,10101,"66 place avenue Gros, 13001 Marseille",Marseille,13001,Provence-Alpes-Côte d'Azur,https://example.com/images/properties/duplex/42.jpg,Kaufman & Broad,Vendu,1973,B,210,5606,2.17,True,True,False,8,5,2026-09-23
43,Le Prestige - Marseille,T4,69,528062,7653,"84 rue boulevard Gimenez, 13003 Marseille",Marseille,13003,Provence-Alpes-Côte d'Azur,https://example.com/images/properties/t4/43.jpg,Bouygues Immobilier,À vendre,1964,F,160,2640,7.3,True,True,True,15,11,2026-03-07
44,Le Duplex - Marseille,Duplex,78,477461,6121,"27 avenue chemin Gilles, 13004 Marseille",Marseille,13004,Provence-Alpes-Côte d'Azur,https://example.com/images/properties/duplex/44.jpg,Vinci Immobilier,Réservé,1977,D,361,2387,6.13,True,True,True,4,4,2026-11-05
45,L'Horizon - Lyon,Duplex,80,751151,9389,"74 avenue rue de Couturier, 69003 Lyon",Lyon,69003,Auvergne-Rhône-Alpes,https://example.com/images/properties/duplex/45.jpg,Nexity,Vendu,1990,F,383,3756,4.87,True,True,True,0,7,2026-09-13
46,Le Majestueux - Lyon,T5,96,358943,3739,"139 boulevard rue Lejeune, 69001 Lyon",Lyon,69001,Auvergne-Rhône-Alpes,https://example.com/images/properties/t5/46.jpg,Cogedim,Vendu,1953,B,401,1795,6.82,False,True,True,15,3,2026-06-28
47,Le Commerce - Lyon,Commercial,230,575548,2502,"86 rue chemin Leclercq, 69007 Lyon",Lyon,69007,Auvergne-Rhône-Alpes,https://example.com/images/properties/commercial/47.jpg,Vinci Immobilier,Réservé,1979,E,325,2878,7.61,True,True,True,0,3,2025-08-04
48,L'Harmonie - Lyon,T3,74,391192,5286,"17 place avenue de Lévêque, 69006 Lyon",Lyon,69006,Auvergne-Rhône-Alpes,https://example.com/images/properties/t3/48.jpg,Pitch Promotion,À vendre,1962,B,254,1956,2.18,True,True,True,0,18,2025-11-07
49,Le Quatuor - Lyon,T4,92,298563,3245,"76 place rue de Parent, 69006 Lyon",Lyon,69006,Auvergne-Rhône-Alpes,https://example.com/images/properties/t4/49.jpg,Kaufman & Broad,En négociation,1995,A,389,1493,6.27,True,False,False,0,1,2025-03-19
50,L'Équilibre - Lyon,T2,40,323641,8091,"61 boulevard rue de Germain, 69003 Lyon",Lyon,69003,Auvergne-Rhône-Alpes,https://example.com/images/properties/t2/50.jpg,Cogedim,Réservé,2009,A,138,1618,4.07,False,False,False,0,3,2026-06-15
51,Le Familial - Lyon,T3,51,293071,5746,"28 boulevard rue Philippine Neveu, 69002 Lyon",Lyon,69002,Auvergne-Rhône-Alpes,https://example.com/images/properties/t3/51.jpg,Pitch Promotion,Réservé,1953,D,208,1465,5.01,True,True,False,12,8,2026-07-02
52,Le Professionnel - Lyon,Commercial,416,1017225,2445,"67 rue rue Bouvier, 69003 Lyon",Lyon,69003,Auvergne-Rhône-Alpes,https://example.com/images/properties/commercial/52.jpg,Eiffage Immobilier,À vendre,2018,D,1460,5086,5.26,False,True,False,13,10,2026-01-06
53,Le Compact - Lyon,Studio,30,152060,5069,"94 place rue de Ruiz, 69003 Lyon",Lyon,69003,Auvergne-Rhône-Alpes,https://example.com/images/properties/studio/53.jpg,Icade,Réservé,2002,B,49,760,4.81,True,False,True,10,13,2026-05-02
54,Le Business - Lyon,Commercial,365,547552,1500,"17 place rue de Schneider, 69006 Lyon",Lyon,69006,Auvergne-Rhône-Alpes,https://example.com/images/properties/commercial/54.jpg,Eiffage Immobilier,À vendre,1972,D,1141,2738,7.98,False,True,False,8,13,2026-07-22
55,L'Harmonie - Lyon,T3,71,478421,6738,"91 avenue rue David, 69007 Lyon",Lyon,69007,Auvergne-Rhône-Alpes,https://example.com/images/properties/t3/55.jpg,Eiffage Immobilier,Réservé,1995,D,256,2392,3.36,False,False,True,12,20,2026-08-21
56,Le Duplex - Lyon,Duplex,72,1198239,16642,"28 boulevard rue de Roux, 69001 Lyon",Lyon,69001,Auvergne-Rhône-Alpes,https://example.com/images/properties/duplex/56.jpg,Cogedim,À vendre,1955,C,310,5991,3.35,True,True,False,9,5,2025-10-10
57,Le Confort - Lyon,T2,46,150624,3274,"149 rue rue de Berthelot, 69001 Lyon",Lyon,69001,Auvergne-Rhône-Alpes,https://example.com/images/properties/t2/57.jpg,Kaufman & Broad,À vendre,1978,B,216,753,2.01,False,False,True,0,10,2027-01-18
58,Le Majestueux - Lyon,T5,116,341597,2945,"23 place chemin Lecomte, 69006 Lyon",Lyon,69006,Auvergne-Rhône-Alpes,https://example.com/images/properties/t5/58.jpg,Pitch Promotion,Réservé,1991,A,349,1708,7.37,True,False,True,6,13,2026-03-23
59,L'Harmonie - Lyon,T3,72,261219,3628,"46 boulevard rue de Marie, 69002 Lyon",Lyon,69002,Auvergne-Rhône-Alpes,https://example.com/images/properties/t3/59.jpg,Vinci Immobilier,Réservé,2003,E,134,1306,7.55,True,False,False,0,11,2026-01-14
60,Le Trilogie - Toulouse,T3,51,262524,5148,"6 avenue avenue de Roux, 31100 Toulouse",Toulouse,31100,Occitanie,https://example.com/images/properties/t3/60.jpg,Nexity,Réservé,1958,C,253,1313,5.12,True,True,True,10,1,2026-12-31
61,L'Équilibre - Toulouse,T2,48,286646,5972,"129 rue avenue Evrard, 31200 Toulouse",Toulouse,31200,Occitanie,https://example.com/images/properties/t2/61.jpg,Icade,Vendu,1955,D,115,1433,2.65,False,True,False,6,6,2025-05-07
62,L'Excellence - Toulouse,T5,125,944213,7554,"28 place rue de Robert, 31200 Toulouse",Toulouse,31200,Occitanie,https://example.com/images/properties/t5/62.jpg,Pitch Promotion,Réservé,1977,D,249,4721,3.67,True,False,False,15,13,2026-01-02
63,Le Majestueux - Toulouse,T5,89,970209,10901,"70 rue chemin de Hebert, 31400 Toulouse",Toulouse,31400,Occitanie,https://example.com/images/properties/t5/63.jpg,Bouygues Immobilier,En négociation,2000,F,118,4851,3.98,True,False,True,3,4,2026-12-09
64,Le Commerce - Toulouse,Commercial,322,668369,2076,"67 place avenue Besson, 31000 Toulouse",Toulouse,31000,Occitanie,https://example.com/images/properties/commercial/64.jpg,Pitch Promotion,En négociation,1989,A,943,3342,7.19,True,True,False,12,9,2026-02-19
65,Le Familial - Toulouse,T3,68,504750,7423,"6 rue chemin François, 31100 Toulouse",Toulouse,31100,Occitanie,https://example.com/images/properties/t3/65.jpg,Bouygues Immobilier,À vendre,2007,F,75,2524,7.8,False,False,True,0,13,2025-09-14
66,Le Professionnel - Toulouse,Commercial,76,1710032,22500,"5 place avenue Martin, 31200 Toulouse",Toulouse,31200,Occitanie,https://example.com/images/properties/commercial/66.jpg,Pitch Promotion,Réservé,2001,A,183,8550,7.79,True,False,True,9,15,2027-01-14
67,L'Horizon - Toulouse,Duplex,119,609067,5118,"23 avenue avenue Gautier, 31400 Toulouse",Toulouse,31400,Occitanie,https://example.com/images/properties/duplex/67.jpg,Nexity,À vendre,1966,G,139,3045,4.34,True,False,False,13,1,2026-02-14
68,L'Harmonie - Toulouse,T3,62,385928,6225,"65 rue chemin Alix Roussel, 31100 Toulouse",Toulouse,31100,Occitanie,https://example.com/images/properties/t3/68.jpg,Eiffage Immobilier,Vendu,1997,B,275,1930,7.29,True,True,False,1,6,2025-09-11
69,L'Excellence - Toulouse,T5,122,811169,6649,"38 rue rue Laurent, 31400 Toulouse",Toulouse,31400,Occitanie,https://example.com/images/properties/t5/69.jpg,Nexity,À vendre,2011,B,364,4056,6.27,True,True,False,12,18,2026-09-10
70,Le Duplex - Toulouse,Duplex,115,1003435,8726,"23 avenue rue de Renard, 31200 Toulouse",Toulouse,31200,Occitanie,https://example.com/images/properties/duplex/70.jpg,Bouygues Immobilier,À vendre,1996,G,253,5017,5.86,True,False,True,7,14,2026-07-19
71,L'Excellence - Toulouse,T5,109,498651,4575,"23 avenue boulevard Sébastien Daniel, 31200 Toulouse",Toulouse,31200,Occitanie,https://example.com/images/properties/t5/71.jpg,Nexity,Vendu,1961,A,473,2493,5.82,False,True,False,11,1,2025-05-28
72,Le Spacieux - Toulouse,T4,63,684679,10868,"125 rue rue Dominique Moreau, 31100 Toulouse",Toulouse,31100,Occitanie,https://example.com/images/properties/t4/72.jpg,Icade,En négociation,1971,E,252,3423,4.6,False,True,True,9,9,2027-01-10
73,Le Studio - Toulouse,Studio,15,252308,16821,"123 rue rue Geneviève Diallo, 31300 Toulouse",Toulouse,31300,Occitanie,https://example.com/images/properties/studio/73.jpg,Icade,Vendu,1980,D,45,1262,2.26,False,False,False,0,10,2026-08-22
74,Le Studio - Toulouse,Studio,32,233742,7304,"44 avenue chemin Pottier, 31400 Toulouse",Toulouse,31400,Occitanie,https://example.com/images/properties/studio/74.jpg,Vinci Immobilier,À vendre,2018,G,91,1169,3.19,True,False,True,1,17,2025-05-20
75,L'Équilibre - Toulouse,T2,44,198291,4507,"38 boulevard rue de Rodriguez, 31000 Toulouse",Toulouse,31000,Occitanie,https://example.com/images/properties/t2/75.jpg,Cogedim,Vendu,2015,E,79,991,4.4,True,True,False,12,10,2026-04-13
76,Le Compact - Nice,Studio,18,149996,8333,"73 place rue de Gaillard, 06200 Nice",Nice,06200,Provence-Alpes-Côte d'Azur,https://example.com/images/properties/studio/76.jpg,Vinci Immobilier,À vendre,1996,D,72,750,3.42,True,True,True,15,15,2026-08-19
77,L'Harmonie - Nice,T3,48,308574,6429,"125 rue rue Gosselin, 06100 Nice",Nice,06100,Provence-Alpes-Côte d'Azur,https://example.com/images/properties/t3/77.jpg,Pitch Promotion,En négociation,2015,D,154,1543,5.7,True,False,False,0,11,2026-03-20
78,Le Trilogie - Nice,T3,54,327916,6073,"82 rue chemin de Petitjean, 06200 Nice",Nice,06200,Provence-Alpes-Côte d'Azur,https://example.com/images/properties/t3/78.jpg,Pitch Promotion,En négociation,1959,A,232,1640,6.44,False,False,False,1,14,2026-09-18
79,L'Harmonie - Nice,T3,67,289546,4322,"87 avenue rue Margot Martineau, 06000 Nice",Nice,06000,Provence-Alpes-Côte d'Azur,https://example.com/images/properties/t3/79.jpg,Icade,Vendu,1977,B,171,1448,2.22,True,False,False,1,11,2026-06-29
80,Le Trilogie - Nice,T3,56,279827,4997,"84 place rue de Coulon, 06000 Nice",Nice,06000,Provence-Alpes-Côte d'Azur,https://example.com/images/properties/t3/80.jpg,Eiffage Immobilier,En négociation,1957,A,80,1399,2.06,True,True,False,0,4,2025-08-11
81,Le Quintessence - Nice,T5,123,906828,7373,"52 avenue avenue Bertrand, 06200 Nice",Nice,06200,Provence-Alpes-Côte d'Azur,https://example.com/images/properties/t5/81.jpg,Pitch Promotion,Vendu,1974,G,357,4534,5.79,False,False,True,8,15,2026-09-19
82,Le Duo - Nice,T2,43,186266,4332,"69 place chemin Danielle Boyer, 06300 Nice",Nice,06300,Provence-Alpes-Côte d'Azur,https://example.com/images/properties/t2/82.jpg,Kaufman & Broad,En négociation,1977,C,44,931,5.73,False,False,False,0,13,2026-09-05
83,Le Majestueux - Nice,T5,87,757611,8708,"121 boulevard rue Adélaïde Neveu, 06000 Nice",Nice,06000,Provence-Alpes-Côte d'Azur,https://example.com/images/properties/t5/83.jpg,Vinci Immobilier,Vendu,1977,A,290,3788,7.98,True,False,False,6,1,2026-07-31
84,Le Prestige - Nice,T4,92,563540,6125,"149 rue rue Coulon, 06300 Nice",Nice,06300,Provence-Alpes-Côte d'Azur,https://example.com/images/properties/t4/84.jpg,Pitch Promotion,Réservé,2018,E,313,2818,3.34,False,False,True,8,2,2025-03-13
85,L'Horizon - Nice,Duplex,98,720995,7357,"57 rue avenue Roche, 06000 Nice",Nice,06000,Provence-Alpes-Côte d'Azur,https://example.com/images/properties/duplex/85.jpg,Cogedim,En négociation,1970,B,418,3605,4.96,False,True,True,0,5,2025-05-02
86,Le Professionnel - Nice,Commercial,272,1361789,5007,"149 boulevard rue de Gosselin, 06300 Nice",Nice,06300,Provence-Alpes-Côte d'Azur,https://example.com/images/properties/commercial/86.jpg,Kaufman & Broad,Vendu,1985,A,1130,6809,6.43,True,True,False,14,4,2025-04-26
87,Le Familial - Nice,T3,53,469681,8862,"30 place rue Marthe Blondel, 06100 Nice",Nice,06100,Provence-Alpes-Côte d'Azur,https://example.com/images/properties/t3/87.jpg,Nexity,Vendu,1962,E,203,2348,5.47,False,True,True,2,14,2025-12-27
88,Le Business - Nice,Commercial,415,752986,1814,"86 rue rue de Renard, 06000 Nice",Nice,06000,Provence-Alpes-Côte d'Azur,https://example.com/images/properties/commercial/88.jpg,Kaufman & Broad,Réservé,2002,D,1096,3765,5.4,True,False,False,2,2,2025-04-11
89,L'Horizon - Nice,Duplex,134,1004117,7493,"53 rue chemin Cohen, 06100 Nice",Nice,06100,Provence-Alpes-Côte d'Azur,https://example.com/images/properties/duplex/89.jpg,Pitch Promotion,À vendre,1963,B,531,5021,3.16,True,True,False,5,11,2026-05-24
90,Le Studio - Nice,Studio,20,121703,6085,"125 boulevard avenue de Baudry, 06100 Nice",Nice,06100,Provence-Alpes-Côte d'Azur,https://example.com/images/properties/studio/90.jpg,Kaufman & Broad,En négociation,2019,F,31,609,3.23,True,False,True,13,7,2026-02-14
91,Le Trilogie - Nantes,T3,56,205871,3676,"74 boulevard rue de Tessier, 44100 Nantes",Nantes,44100,Pays de la Loire,https://example.com/images/properties/t3/91.jpg,Eiffage Immobilier,Vendu,2023,G,214,1029,3.63,True,False,False,10,13,2025-11-05
92,Le Quintessence - Nantes,T5,101,617561,6114,"90 avenue avenue Daniel, 44300 Nantes",Nantes,44300,Pays de la Loire,https://example.com/images/properties/t5/92.jpg,Icade,Réservé,1976,G,288,3088,2.48,True,True,True,0,3,2025-08-02
93,Le Business - Nantes,Commercial,250,365964,1464,"57 rue boulevard Huet, 44300 Nantes",Nantes,44300,Pays de la Loire,https://example.com/images/properties/commercial/93.jpg,Icade,En négociation,1957,G,912,1830,4.61,True,True,True,14,6,2026-02-26
94,Le Studio - Nantes,Studio,35,254134,7261,"118 avenue chemin Gaillard, 44200 Nantes",Nantes,44200,Pays de la Loire,https://example.com/images/properties/studio/94.jpg,Icade,En négociation,1972,D,118,1271,2.86,True,True,True,1,3,2025-05-06
95,Le Quatuor - Nantes,T4,89,704937,7921,"79 boulevard rue de Roussel, 44200 Nantes",Nantes,44200,Pays de la Loire,https://example.com/images/properties/t4/95.jpg,Eiffage Immobilier,Réservé,2004,B,334,3525,7.12,False,True,True,3,2,2025-06-10
96,Le Trilogie - Nantes,T3,67,366039,5463,"54 avenue rue Laure Carpentier, 44300 Nantes",Nantes,44300,Pays de la Loire,https://example.com/images/properties/t3/96.jpg,Kaufman & Broad,À vendre,1993,A,294,1830,7.82,False,True,True,10,4,2027-02-11
97,Le Prestige - Nantes,T4,68,512507,7537,"27 boulevard chemin Roger, 44100 Nantes",Nantes,44100,Pays de la Loire,https://example.com/images/properties/t4/97.jpg,Bouygues Immobilier,En négociation,1950,F,73,2563,6.6,True,True,True,6,1,2026-11-11
98,Le Quintessence - Nantes,T5,101,660464,6539,"123 avenue boulevard Joly, 44100 Nantes",Nantes,44100,Pays de la Loire,https://example.com/images/properties/t5/98.jpg,Kaufman & Broad,Réservé,1974,D,121,3302,3.86,True,False,True,9,8,2025-05-26
99,L'Équilibre - Nantes,T2,36,294803,8189,"10 avenue boulevard Huet, 44200 Nantes",Nantes,44200,Pays de la Loire,https://example.com/images/properties/t2/99.jpg,Nexity,Réservé,1978,C,69,1474,7.17,True,True,False,10,4,2026-10-20
100,Le Spacieux - Nantes,T4,89,723168,8125,"1 boulevard rue Éric Collet, 44200 Nantes",Nantes,44200,Pays de la Loire,https://example.com/images/properties/t4/100.jpg,Icade,En négociation,2018,B,147,3616,3.22,True,False,False,15,6,2026-03-31
101,Le Duplex - Nantes,Duplex,103,719499,6985,"107 place boulevard Laurent Leconte, 44000 Nantes",Nantes,44000,Pays de la Loire,https://example.com/images/properties/duplex/101.jpg,Kaufman & Broad,En négociation,1952,E,473,3597,5.33,False,True,True,1,10,2026-04-16
102,Le Quintessence - Nantes,T5,114,484341,4249,"90 place avenue Tristan Olivier, 44300 Nantes",Nantes,44300,Pays de la Loire,https://example.com/images/properties/t5/102.jpg,Vinci Immobilier,Réservé,2007,B,133,2422,7.77,True,False,False,11,8,2025-10-18
